loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
3.697,13.516833305358887,2.997953814674072e-05,0.0020879442101307054,50,,,,,,,,,
2.2984,17.145383834838867,2.995865870463941e-05,0.004175888420261411,100,,,,,,,,,
1.9413,18.24796485900879,2.9937779262538105e-05,0.006263832630392116,150,,,,,,,,,
1.7357,26.177289962768555,2.99168998204368e-05,0.008351776840522821,200,,,,,,,,,
1.5104,13.33819580078125,2.989602037833549e-05,0.010439721050653527,250,,,,,,,,,
1.5117,15.4114408493042,2.9875140936234184e-05,0.012527665260784231,300,,,,,,,,,
1.4944,17.40199851989746,2.985426149413288e-05,0.014615609470914937,350,,,,,,,,,
1.3723,19.716760635375977,2.983338205203157e-05,0.016703553681045643,400,,,,,,,,,
1.3252,18.11189842224121,2.9812502609930263e-05,0.01879149789117635,450,,,,,,,,,
1.4672,15.965019226074219,2.9791623167828957e-05,0.020879442101307055,500,,,,,,,,,
1.3722,20.66408920288086,2.9770743725727648e-05,0.022967386311437757,550,,,,,,,,,
1.2141,12.264472007751465,2.9749864283626342e-05,0.025055330521568463,600,,,,,,,,,
1.3285,15.976034164428711,2.9728984841525037e-05,0.02714327473169917,650,,,,,,,,,
1.1816,24.135969161987305,2.9708105399423727e-05,0.029231218941829874,700,,,,,,,,,
1.3358,18.375478744506836,2.968722595732242e-05,0.03131916315196058,750,,,,,,,,,
1.2355,15.93808364868164,2.9666346515221116e-05,0.033407107362091286,800,,,,,,,,,
1.223,16.03458023071289,2.9645467073119807e-05,0.03549505157222199,850,,,,,,,,,
1.2095,20.478784561157227,2.96245876310185e-05,0.0375829957823527,900,,,,,,,,,
1.1078,12.118559837341309,2.9603708188917195e-05,0.0396709399924834,950,,,,,,,,,
1.1859,20.301555633544922,2.9582828746815886e-05,0.04175888420261411,1000,,,,,,,,,
1.123,10.074945449829102,2.956194930471458e-05,0.043846828412744815,1050,,,,,,,,,
1.0182,14.777929306030273,2.9541069862613274e-05,0.045934772622875514,1100,,,,,,,,,
1.1061,14.671127319335938,2.9520190420511965e-05,0.04802271683300622,1150,,,,,,,,,
1.1088,23.347442626953125,2.949931097841066e-05,0.050110661043136925,1200,,,,,,,,,
1.1343,13.816573143005371,2.9478431536309353e-05,0.05219860525326763,1250,,,,,,,,,
1.0017,11.834738731384277,2.9457552094208044e-05,0.05428654946339834,1300,,,,,,,,,
1.1125,13.66718578338623,2.9436672652106738e-05,0.05637449367352904,1350,,,,,,,,,
0.9546,15.533003807067871,2.941579321000543e-05,0.05846243788365975,1400,,,,,,,,,
0.9465,14.879617691040039,2.9394913767904123e-05,0.060550382093790454,1450,,,,,,,,,
0.9688,17.9871768951416,2.9374034325802817e-05,0.06263832630392116,1500,,,,,,,,,
1.0244,14.405275344848633,2.9353154883701508e-05,0.06472627051405186,1550,,,,,,,,,
0.9962,10.435128211975098,2.9332275441600202e-05,0.06681421472418257,1600,,,,,,,,,
0.9646,10.696298599243164,2.9311395999498896e-05,0.06890215893431327,1650,,,,,,,,,
1.0723,15.595030784606934,2.9290516557397587e-05,0.07099010314444398,1700,,,,,,,,,
0.9692,12.26174259185791,2.926963711529628e-05,0.07307804735457468,1750,,,,,,,,,
0.9834,14.664278030395508,2.9248757673194975e-05,0.0751659915647054,1800,,,,,,,,,
1.0566,17.009180068969727,2.9227878231093663e-05,0.0772539357748361,1850,,,,,,,,,
1.0887,6.008680820465088,2.9206998788992357e-05,0.0793418799849668,1900,,,,,,,,,
1.0343,12.558993339538574,2.918611934689105e-05,0.0814298241950975,1950,,,,,,,,,
0.9539,22.69022560119629,2.9165239904789742e-05,0.08351776840522822,2000,,,,,,,,,
0.9812,13.709146499633789,2.9144360462688436e-05,0.08560571261535892,2050,,,,,,,,,
1.047,15.335381507873535,2.912348102058713e-05,0.08769365682548963,2100,,,,,,,,,
0.9905,19.474939346313477,2.910260157848582e-05,0.08978160103562033,2150,,,,,,,,,
0.9834,12.91765022277832,2.9081722136384515e-05,0.09186954524575103,2200,,,,,,,,,
0.9988,9.109101295471191,2.906084269428321e-05,0.09395748945588174,2250,,,,,,,,,
0.9481,12.094244003295898,2.90399632521819e-05,0.09604543366601244,2300,,,,,,,,,
1.0404,21.975830078125,2.9019083810080594e-05,0.09813337787614315,2350,,,,,,,,,
0.9342,12.560030937194824,2.899820436797929e-05,0.10022132208627385,2400,,,,,,,,,
1.0339,18.294544219970703,2.897732492587798e-05,0.10230926629640456,2450,,,,,,,,,
0.8829,19.24182891845703,2.8956445483776674e-05,0.10439721050653526,2500,,,,,,,,,
0.9278,25.618671417236328,2.8935566041675368e-05,0.10648515471666598,2550,,,,,,,,,
0.9943,14.180379867553711,2.891468659957406e-05,0.10857309892679667,2600,,,,,,,,,
0.9932,12.919234275817871,2.8893807157472753e-05,0.11066104313692739,2650,,,,,,,,,
0.8939,19.44036102294922,2.8872927715371447e-05,0.11274898734705809,2700,,,,,,,,,
0.8582,14.497204780578613,2.8852048273270138e-05,0.1148369315571888,2750,,,,,,,,,
0.9629,20.882976531982422,2.8831168831168832e-05,0.1169248757673195,2800,,,,,,,,,
0.9332,20.92962646484375,2.8810289389067526e-05,0.1190128199774502,2850,,,,,,,,,
0.932,11.581124305725098,2.8789409946966217e-05,0.12110076418758091,2900,,,,,,,,,
0.9479,10.594769477844238,2.876853050486491e-05,0.12318870839771161,2950,,,,,,,,,
0.9441,16.260408401489258,2.8747651062763605e-05,0.12527665260784232,3000,,,,,,,,,
0.9419,22.348085403442383,2.8726771620662296e-05,0.12736459681797302,3050,,,,,,,,,
0.9054,16.39972496032715,2.870589217856099e-05,0.12945254102810372,3100,,,,,,,,,
1.0403,18.1728458404541,2.8685012736459684e-05,0.13154048523823444,3150,,,,,,,,,
0.8232,15.059751510620117,2.8664133294358375e-05,0.13362842944836514,3200,,,,,,,,,
0.9378,19.904441833496094,2.864325385225707e-05,0.13571637365849584,3250,,,,,,,,,
0.9342,17.07426643371582,2.862237441015576e-05,0.13780431786862654,3300,,,,,,,,,
0.8751,24.071569442749023,2.8601494968054454e-05,0.13989226207875727,3350,,,,,,,,,
0.8985,16.570837020874023,2.8580615525953148e-05,0.14198020628888797,3400,,,,,,,,,
1.008,17.360225677490234,2.855973608385184e-05,0.14406815049901867,3450,,,,,,,,,
0.8661,16.382272720336914,2.8538856641750533e-05,0.14615609470914936,3500,,,,,,,,,
0.9246,9.701262474060059,2.8517977199649227e-05,0.14824403891928006,3550,,,,,,,,,
0.919,13.731293678283691,2.8497097757547918e-05,0.1503319831294108,3600,,,,,,,,,
0.9053,19.826913833618164,2.8476218315446612e-05,0.1524199273395415,3650,,,,,,,,,
0.876,14.770772933959961,2.8455338873345307e-05,0.1545078715496722,3700,,,,,,,,,
0.869,12.71811580657959,2.8434459431243997e-05,0.1565958157598029,3750,,,,,,,,,
0.9157,23.43144989013672,2.841357998914269e-05,0.1586837599699336,3800,,,,,,,,,
0.8966,13.301557540893555,2.8392700547041386e-05,0.1607717041800643,3850,,,,,,,,,
0.8875,14.251861572265625,2.8371821104940076e-05,0.162859648390195,3900,,,,,,,,,
0.8545,9.164558410644531,2.835094166283877e-05,0.1649475926003257,3950,,,,,,,,,
0.9076,15.315098762512207,2.8330062220737465e-05,0.16703553681045644,4000,,,,,,,,,
0.8537,11.625286102294922,2.8309182778636156e-05,0.16912348102058714,4050,,,,,,,,,
0.8875,17.637670516967773,2.828830333653485e-05,0.17121142523071783,4100,,,,,,,,,
0.8583,13.827553749084473,2.8267423894433544e-05,0.17329936944084853,4150,,,,,,,,,
0.8391,19.880043029785156,2.8246544452332235e-05,0.17538731365097926,4200,,,,,,,,,
0.8446,13.039900779724121,2.822566501023093e-05,0.17747525786110996,4250,,,,,,,,,
0.887,17.63718605041504,2.8204785568129623e-05,0.17956320207124066,4300,,,,,,,,,
0.8158,15.42489242553711,2.8183906126028314e-05,0.18165114628137136,4350,,,,,,,,,
0.9575,13.49247932434082,2.8163026683927005e-05,0.18373909049150206,4400,,,,,,,,,
0.8177,10.339634895324707,2.81421472418257e-05,0.18582703470163278,4450,,,,,,,,,
0.8958,13.673319816589355,2.812126779972439e-05,0.18791497891176348,4500,,,,,,,,,
0.9125,14.194144248962402,2.8100388357623084e-05,0.19000292312189418,4550,,,,,,,,,
0.8768,15.43930721282959,2.8079508915521778e-05,0.19209086733202488,4600,,,,,,,,,
0.924,12.745536804199219,2.805862947342047e-05,0.1941788115421556,4650,,,,,,,,,
0.9017,13.424859046936035,2.8037750031319163e-05,0.1962667557522863,4700,,,,,,,,,
0.8775,16.17075538635254,2.8016870589217857e-05,0.198354699962417,4750,,,,,,,,,
0.8715,14.380219459533691,2.7995991147116548e-05,0.2004426441725477,4800,,,,,,,,,
0.8418,16.420188903808594,2.7975111705015242e-05,0.20253058838267843,4850,,,,,,,,,
0.813,11.75898551940918,2.7954232262913936e-05,0.20461853259280913,4900,,,,,,,,,
0.8462,21.245094299316406,2.7933352820812627e-05,0.20670647680293983,4950,,,,,,,,,
0.8691,22.71282958984375,2.791247337871132e-05,0.20879442101307052,5000,,,,,,,,,
,,,0.20879442101307052,5000,0.8170756101608276,242.1752,395.767,24.738,,,,,
0.8303,14.818414688110352,2.7891593936610015e-05,0.21088236522320122,5050,,,,,,,,,
0.783,21.40591049194336,2.7870714494508706e-05,0.21297030943333195,5100,,,,,,,,,
0.8249,11.224543571472168,2.78498350524074e-05,0.21505825364346265,5150,,,,,,,,,
0.819,16.470420837402344,2.782895561030609e-05,0.21714619785359335,5200,,,,,,,,,
0.8859,14.767768859863281,2.7808076168204785e-05,0.21923414206372405,5250,,,,,,,,,
