loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
2.4334,15.001063346862793,2.9983266170343555e-05,0.0,50,,,,,,,,,
0.3974,8.802288055419922,2.9966190833959428e-05,0.0,100,,,,,,,,,
0.2802,6.091693878173828,2.9949115497575304e-05,0.01,150,,,,,,,,,
0.2617,6.041441440582275,2.9932040161191176e-05,0.01,200,,,,,,,,,
0.2754,5.069582462310791,2.991496482480705e-05,0.01,250,,,,,,,,,
0.2493,5.926509857177734,2.989788948842292e-05,0.01,300,,,,,,,,,
0.2498,10.292256355285645,2.9880814152038797e-05,0.01,350,,,,,,,,,
0.2396,7.837666988372803,2.9863738815654667e-05,0.01,400,,,,,,,,,
0.1949,4.8198370933532715,2.9846663479270543e-05,0.02,450,,,,,,,,,
0.2044,4.381250381469727,2.9829588142886415e-05,0.02,500,,,,,,,,,
0.1289,2.807161569595337,2.981251280650229e-05,0.02,550,,,,,,,,,
0.1887,6.046774387359619,2.979543747011816e-05,0.02,600,,,,,,,,,
0.1768,3.5884599685668945,2.9778362133734036e-05,0.02,650,,,,,,,,,
0.2213,5.112674236297607,2.976128679734991e-05,0.02,700,,,,,,,,,
0.1702,6.843658447265625,2.9744211460965785e-05,0.03,750,,,,,,,,,
0.168,7.826783180236816,2.9727136124581654e-05,0.03,800,,,,,,,,,
0.1405,5.711580276489258,2.971006078819753e-05,0.03,850,,,,,,,,,
0.1638,4.588082790374756,2.9692985451813402e-05,0.03,900,,,,,,,,,
0.1888,11.628398895263672,2.9675910115429275e-05,0.03,950,,,,,,,,,
0.1349,6.805955410003662,2.9658834779045147e-05,0.03,1000,,,,,,,,,
0.1678,5.256359577178955,2.964175944266102e-05,0.04,1050,,,,,,,,,
0.1593,4.369731903076172,2.9624684106276896e-05,0.04,1100,,,,,,,,,
0.122,3.2861976623535156,2.9607608769892765e-05,0.04,1150,,,,,,,,,
0.1547,8.036797523498535,2.959053343350864e-05,0.04,1200,,,,,,,,,
0.1671,3.282588481903076,2.9573458097124514e-05,0.04,1250,,,,,,,,,
0.2074,4.846812725067139,2.9556382760740386e-05,0.04,1300,,,,,,,,,
0.1393,0.8840004205703735,2.953930742435626e-05,0.05,1350,,,,,,,,,
0.1518,20.663454055786133,2.9522232087972135e-05,0.05,1400,,,,,,,,,
0.1422,1.4284306764602661,2.9505156751588007e-05,0.05,1450,,,,,,,,,
0.1755,11.255453109741211,2.948808141520388e-05,0.05,1500,,,,,,,,,
0.1651,3.1152491569519043,2.9471006078819752e-05,0.05,1550,,,,,,,,,
0.132,6.2270965576171875,2.9453930742435628e-05,0.05,1600,,,,,,,,,
0.1534,3.372161865234375,2.94368554060515e-05,0.06,1650,,,,,,,,,
0.203,8.224245071411133,2.9419780069667373e-05,0.06,1700,,,,,,,,,
0.1479,8.910637855529785,2.9402704733283246e-05,0.06,1750,,,,,,,,,
0.1131,9.970398902893066,2.9385629396899122e-05,0.06,1800,,,,,,,,,
0.1305,1.6306349039077759,2.936855406051499e-05,0.06,1850,,,,,,,,,
0.1403,11.02889347076416,2.9351478724130867e-05,0.06,1900,,,,,,,,,
0.1623,4.731267929077148,2.933440338774674e-05,0.07,1950,,,,,,,,,
0.1865,1.8673970699310303,2.9317328051362616e-05,0.07,2000,,,,,,,,,
0.1285,5.675549507141113,2.9300252714978485e-05,0.07,2050,,,,,,,,,
0.1624,13.794105529785156,2.928317737859436e-05,0.07,2100,,,,,,,,,
0.1866,17.562824249267578,2.9266102042210233e-05,0.07,2150,,,,,,,,,
0.1156,3.936143159866333,2.9249026705826102e-05,0.08,2200,,,,,,,,,
0.1637,4.554171562194824,2.923195136944198e-05,0.08,2250,,,,,,,,,
0.1362,13.570685386657715,2.921487603305785e-05,0.08,2300,,,,,,,,,
0.1269,7.622779369354248,2.9197800696673727e-05,0.08,2350,,,,,,,,,
0.1691,2.3794562816619873,2.9180725360289596e-05,0.08,2400,,,,,,,,,
0.1633,4.110960960388184,2.9163650023905472e-05,0.08,2450,,,,,,,,,
0.1414,16.190279006958008,2.9146574687521344e-05,0.09,2500,,,,,,,,,
0.1255,0.5618480443954468,2.9129499351137217e-05,0.09,2550,,,,,,,,,
0.1168,0.2748788595199585,2.911242401475309e-05,0.09,2600,,,,,,,,,
0.1663,19.397260665893555,2.9095348678368966e-05,0.09,2650,,,,,,,,,
0.1335,1.882726788520813,2.9078273341984838e-05,0.09,2700,,,,,,,,,
0.1362,9.481955528259277,2.906119800560071e-05,0.09,2750,,,,,,,,,
0.1413,6.899923324584961,2.9044122669216583e-05,0.1,2800,,,,,,,,,
0.1299,1.5993841886520386,2.902704733283246e-05,0.1,2850,,,,,,,,,
0.1333,4.291449069976807,2.9009971996448332e-05,0.1,2900,,,,,,,,,
0.1415,4.650659561157227,2.8992896660064204e-05,0.1,2950,,,,,,,,,
0.1411,2.4441206455230713,2.8975821323680077e-05,0.1,3000,,,,,,,,,
0.1341,4.378139019012451,2.8958745987295953e-05,0.1,3050,,,,,,,,,
0.1519,7.981452465057373,2.8941670650911822e-05,0.11,3100,,,,,,,,,
0.112,16.070119857788086,2.8924595314527698e-05,0.11,3150,,,,,,,,,
0.112,0.6050613522529602,2.890751997814357e-05,0.11,3200,,,,,,,,,
0.129,4.653024673461914,2.8890444641759446e-05,0.11,3250,,,,,,,,,
0.1467,1.4155791997909546,2.8873369305375316e-05,0.11,3300,,,,,,,,,
