loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
2.9339,10.74854850769043,2.998779120468419e-05,0.0,50,,,,,,,,,
1.8369,12.794425964355469,2.9975333250280304e-05,0.0,100,,,,,,,,,
1.6473,13.956315994262695,2.9962875295876417e-05,0.0,150,,,,,,,,,
1.4497,21.72429656982422,2.995041734147253e-05,0.0,200,,,,,,,,,
1.2744,17.968198776245117,2.9937959387068644e-05,0.01,250,,,,,,,,,
1.0772,12.614645957946777,2.9925501432664754e-05,0.01,300,,,,,,,,,
1.1226,11.840276718139648,2.991304347826087e-05,0.01,350,,,,,,,,,
1.0839,15.598423957824707,2.9900585523856984e-05,0.01,400,,,,,,,,,
0.9162,19.519329071044922,2.9888127569453098e-05,0.01,450,,,,,,,,,
0.9571,20.45003890991211,2.987566961504921e-05,0.01,500,,,,,,,,,
0.9073,22.189699172973633,2.986321166064532e-05,0.01,550,,,,,,,,,
0.9043,13.585869789123535,2.9850753706241435e-05,0.01,600,,,,,,,,,
0.8195,10.853343963623047,2.983829575183755e-05,0.02,650,,,,,,,,,
0.8822,13.939641952514648,2.9825837797433662e-05,0.02,700,,,,,,,,,
0.8506,8.463772773742676,2.9813379843029775e-05,0.02,750,,,,,,,,,
0.8115,13.28724193572998,2.9800921888625886e-05,0.02,800,,,,,,,,,
0.8692,16.651235580444336,2.9788463934222e-05,0.02,850,,,,,,,,,
0.8002,11.502372741699219,2.9776005979818116e-05,0.02,900,,,,,,,,,
0.7445,11.712435722351074,2.976354802541423e-05,0.02,950,,,,,,,,,
0.7741,14.486839294433594,2.9751090071010343e-05,0.02,1000,,,,,,,,,
0.7761,17.397228240966797,2.9738632116606453e-05,0.03,1050,,,,,,,,,
0.7875,15.778534889221191,2.9726174162202566e-05,0.03,1100,,,,,,,,,
0.7288,17.40026092529297,2.971371620779868e-05,0.03,1150,,,,,,,,,
0.7289,21.626806259155273,2.9701258253394793e-05,0.03,1200,,,,,,,,,
0.7221,6.93184757232666,2.9688800298990907e-05,0.03,1250,,,,,,,,,
0.6953,18.69713020324707,2.9676342344587017e-05,0.03,1300,,,,,,,,,
0.7293,14.465795516967773,2.966388439018313e-05,0.03,1350,,,,,,,,,
0.7159,9.487786293029785,2.9651426435779244e-05,0.03,1400,,,,,,,,,
0.6563,15.273361206054688,2.963896848137536e-05,0.04,1450,,,,,,,,,
0.6879,14.9630126953125,2.9626510526971474e-05,0.04,1500,,,,,,,,,
0.687,20.50186538696289,2.9614052572567584e-05,0.04,1550,,,,,,,,,
0.5762,21.6492919921875,2.9601594618163698e-05,0.04,1600,,,,,,,,,
0.8118,7.343202114105225,2.958913666375981e-05,0.04,1650,,,,,,,,,
0.717,12.648978233337402,2.9576678709355925e-05,0.04,1700,,,,,,,,,
0.6698,8.273395538330078,2.9564220754952038e-05,0.04,1750,,,,,,,,,
0.6948,11.206387519836426,2.955176280054815e-05,0.04,1800,,,,,,,,,
0.7436,18.081314086914062,2.9539304846144262e-05,0.05,1850,,,,,,,,,
