loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
2.5668,10.43659496307373,2.9983166139892812e-05,0.0,50,,,,,,,,,
0.5733,11.898637771606445,2.9965988731620176e-05,0.0,100,,,,,,,,,
0.424,28.03238868713379,2.9948811323347533e-05,0.01,150,,,,,,,,,
0.3496,8.242708206176758,2.9931633915074894e-05,0.01,200,,,,,,,,,
0.3775,5.4122114181518555,2.9914456506802255e-05,0.01,250,,,,,,,,,
0.3493,8.823254585266113,2.9897279098529615e-05,0.01,300,,,,,,,,,
0.348,1.7074724435806274,2.9880101690256976e-05,0.01,350,,,,,,,,,
0.2843,9.582817077636719,2.9862924281984336e-05,0.01,400,,,,,,,,,
0.3609,14.39125919342041,2.9845746873711694e-05,0.02,450,,,,,,,,,
0.284,6.1521077156066895,2.9828569465439054e-05,0.02,500,,,,,,,,,
0.3298,6.919235706329346,2.9811392057166418e-05,0.02,550,,,,,,,,,
0.2699,4.6726250648498535,2.9794214648893776e-05,0.02,600,,,,,,,,,
0.2488,3.9300787448883057,2.9777037240621136e-05,0.02,650,,,,,,,,,
0.2348,10.26698112487793,2.9759859832348493e-05,0.02,700,,,,,,,,,
0.2406,7.965264320373535,2.9742682424075857e-05,0.03,750,,,,,,,,,
0.2692,8.97120475769043,2.9725505015803218e-05,0.03,800,,,,,,,,,
0.2492,5.862703323364258,2.9708327607530575e-05,0.03,850,,,,,,,,,
0.2729,7.719169616699219,2.9691150199257936e-05,0.03,900,,,,,,,,,
0.2721,6.091875076293945,2.9673972790985296e-05,0.03,950,,,,,,,,,
0.2826,4.963192462921143,2.9656795382712657e-05,0.03,1000,,,,,,,,,
0.2196,5.010678768157959,2.9639617974440018e-05,0.04,1050,,,,,,,,,
0.199,1.666174054145813,2.9622440566167378e-05,0.04,1100,,,,,,,,,
0.2329,11.146952629089355,2.9605263157894735e-05,0.04,1150,,,,,,,,,
0.2263,2.850930690765381,2.95880857496221e-05,0.04,1200,,,,,,,,,
0.277,9.189203262329102,2.957090834134946e-05,0.04,1250,,,,,,,,,
0.2126,5.815730094909668,2.9553730933076817e-05,0.04,1300,,,,,,,,,
0.2187,8.021026611328125,2.9536553524804178e-05,0.05,1350,,,,,,,,,
0.2067,4.0273237228393555,2.951937611653154e-05,0.05,1400,,,,,,,,,
0.2363,4.677554130554199,2.95021987082589e-05,0.05,1450,,,,,,,,,
0.1931,8.28246021270752,2.948502129998626e-05,0.05,1500,,,,,,,,,
0.2512,8.455316543579102,2.9467843891713617e-05,0.05,1550,,,,,,,,,
0.2477,11.770257949829102,2.9450666483440978e-05,0.05,1600,,,,,,,,,
0.2016,4.599847793579102,2.943348907516834e-05,0.06,1650,,,,,,,,,
0.1837,7.2174577713012695,2.94163116668957e-05,0.06,1700,,,,,,,,,
0.2011,6.046690940856934,2.939913425862306e-05,0.06,1750,,,,,,,,,
0.1823,14.922776222229004,2.938195685035042e-05,0.06,1800,,,,,,,,,
0.2059,5.735411167144775,2.936477944207778e-05,0.06,1850,,,,,,,,,
0.2158,7.072367191314697,2.934760203380514e-05,0.07,1900,,,,,,,,,
0.2051,4.367620468139648,2.9330424625532502e-05,0.07,1950,,,,,,,,,
0.1813,10.340867042541504,2.931324721725986e-05,0.07,2000,,,,,,,,,
0.2448,2.1434500217437744,2.929606980898722e-05,0.07,2050,,,,,,,,,
0.2189,7.26893424987793,2.927889240071458e-05,0.07,2100,,,,,,,,,
0.248,6.089625835418701,2.926171499244194e-05,0.07,2150,,,,,,,,,
0.2114,2.9628398418426514,2.92445375841693e-05,0.08,2200,,,,,,,,,
0.2354,4.463048934936523,2.922736017589666e-05,0.08,2250,,,,,,,,,
0.1669,4.880877494812012,2.9210182767624023e-05,0.08,2300,,,,,,,,,
0.1885,9.51895523071289,2.9193005359351383e-05,0.08,2350,,,,,,,,,
0.1728,7.7638397216796875,2.917582795107874e-05,0.08,2400,,,,,,,,,
0.2151,6.6483378410339355,2.91586505428061e-05,0.08,2450,,,,,,,,,
0.2275,23.238245010375977,2.9141473134533465e-05,0.09,2500,,,,,,,,,
0.1841,5.073183536529541,2.9124295726260823e-05,0.09,2550,,,,,,,,,
0.2152,8.230880737304688,2.9107118317988183e-05,0.09,2600,,,,,,,,,
0.2283,6.88029670715332,2.9089940909715544e-05,0.09,2650,,,,,,,,,
0.199,2.714538097381592,2.90727635014429e-05,0.09,2700,,,,,,,,,
0.2075,4.76495361328125,2.9055586093170265e-05,0.09,2750,,,,,,,,,
0.1852,4.524603843688965,2.9038408684897622e-05,0.1,2800,,,,,,,,,
0.2083,1.0485479831695557,2.9021231276624983e-05,0.1,2850,,,,,,,,,
0.2121,6.361408233642578,2.9004053868352343e-05,0.1,2900,,,,,,,,,
0.2264,5.811916828155518,2.8986876460079704e-05,0.1,2950,,,,,,,,,
0.2045,3.5736515522003174,2.8969699051807065e-05,0.1,3000,,,,,,,,,
0.223,10.563243865966797,2.8952521643534425e-05,0.1,3050,,,,,,,,,
0.1994,2.2576444149017334,2.8935344235261783e-05,0.11,3100,,,,,,,,,
0.1761,16.865671157836914,2.8918166826989143e-05,0.11,3150,,,,,,,,,
0.2255,12.878135681152344,2.8900989418716507e-05,0.11,3200,,,,,,,,,
0.1845,4.500109672546387,2.8883812010443864e-05,0.11,3250,,,,,,,,,
0.1924,12.459117889404297,2.8866634602171225e-05,0.11,3300,,,,,,,,,
0.1943,5.508034706115723,2.8849457193898586e-05,0.12,3350,,,,,,,,,
0.1755,11.454388618469238,2.8832279785625946e-05,0.12,3400,,,,,,,,,
0.1764,0.8959497213363647,2.8815102377353307e-05,0.12,3450,,,,,,,,,
0.1167,4.730173587799072,2.8797924969080664e-05,0.12,3500,,,,,,,,,
0.1884,6.857332229614258,2.8780747560808025e-05,0.12,3550,,,,,,,,,
0.1934,8.318620681762695,2.876357015253539e-05,0.12,3600,,,,,,,,,
0.1725,6.041787624359131,2.8746392744262746e-05,0.13,3650,,,,,,,,,
0.1973,3.28041672706604,2.8729215335990107e-05,0.13,3700,,,,,,,,,
